Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
31,49,32,Sandy,Maize,13,12,34,14-35-14
31,56,63,Red,Cotton,16,15,33,14-35-14
22,67,48,Sandy,Maize,21,12,6,Urea
28,60,64,Black,Cotton,15,14,31,14-35-14
25,51,30,Clayey,Pulses,13,17,25,28-28
25,59,33,Clayey,Pulses,13,11,39,14-35-14
29,55,46,Sandy,Barley,14,15,37,28-28
37,67,55,Loamy,Wheat,27,5,24,28-28
29,58,39,Clayey,Pulses,12,29,25,10-26-26
32,59,45,Sandy,Maize,17,14,40,14-35-14
30,63,42,Clayey,Paddy,21,8,14,Urea
30,75,27,Black,Oil seeds,12,12,32,14-35-14
32,66,35,Red,Tobacco,28,9,13,28-28
25,48,63,Red,Cotton,21,9,7,Urea
32,51,33,Black,Oil seeds,29,0,16,DAP
35,57,43,Red,Ground Nuts,19,14,20,17-17-17
31,52,50,Loamy,Sugarcane,14,15,20,17-17-17
27,59,40,Black,Millets,17,12,36,14-35-14
24,55,39,Red,Ground Nuts,21,0,36,Urea
36,59,33,Red,Tobacco,31,2,16,DAP
31,72,51,Loamy,Wheat,21,7,16,28-28
35,67,33,Red,Tobacco,9,23,27,10-26-26
33,54,30,Black,Oil seeds,23,4,16,DAP
28,62,40,Clayey,Paddy,21,10,28,Urea
27,53,26,Clayey,Pulses,8,23,22,10-26-26
32,61,31,Red,Tobacco,31,0,30,28-28
27,48,39,Clayey,Pulses,24,2,0,Urea
27,52,37,Black,Oil seeds,31,3,39,20-20
29,59,55,Sandy,Maize,22,6,12,28-28
31,53,33,Clayey,Pulses,29,8,35,28-28
34,65,47,Loamy,Wheat,36,0,0,20-20
29,68,63,Loamy,Sugarcane,8,0,16,DAP
22,60,36,Red,Ground Nuts,35,0,20,Urea
36,59,59,Black,Sugarcane,21,0,27,Urea
29,67,40,Clayey,Paddy,30,4,37,28-28
31,64,43,Red,Ground Nuts,21,0,4,Urea
27,46,36,Sandy,Maize,14,16,40,14-35-14
32,63,43,Clayey,Paddy,21,9,21,Urea
27,55,62,Black,Cotton,18,0,22,28-28
20,59,68,Loamy,Cotton,36,4,10,Urea
25,57,32,Black,Oil seeds,23,1,28,20-20
25,50,37,Red,Ground Nuts,18,18,18,17-17-17
34,59,32,Red,Tobacco,25,8,21,Urea
30,62,44,Clayey,Paddy,29,8,21,20-20
28,60,32,Clayey,Pulses,2,3,24,DAP
36,51,44,Clayey,Paddy,21,16,11,Urea
34,47,32,Black,Oil seeds,21,0,47,Urea
28,67,42,Clayey,Paddy,14,0,9,28-28
32,62,48,Loamy,Wheat,25,0,18,Urea
38,54,39,Clayey,Paddy,16,11,35,14-35-14
32,55,47,Sandy,Barley,15,18,17,17-17-17
28,41,31,Black,Oil seeds,15,14,37,14-35-14
29,56,38,Clayey,Paddy,8,26,23,10-26-26
31,59,38,Clayey,Paddy,29,8,18,DAP
30,58,35,Sandy,Millets,38,0,45,Urea
31,51,36,Sandy,Millets,21,1,11,Urea
28,66,46,Sandy,Maize,21,16,13,Urea
29,57,36,Sandy,Millets,1,1,4,28-28
32,70,32,Red,Tobacco,31,3,13,28-28
29,65,29,Red,Ground Nuts,23,0,34,Urea
32,51,49,Loamy,Wheat,28,6,37,20-20
29,64,34,Sandy,Maize,16,14,30,14-35-14
32,56,32,Black,Oil seeds,21,5,24,DAP
32,57,31,Red,Tobacco,11,28,30,10-26-26
31,51,62,Black,Sugarcane,20,15,13,17-17-17
35,54,49,Sandy,Barley,13,6,27,DAP
29,49,49,Sandy,Barley,23,4,35,DAP
36,60,26,Red,Tobacco,31,19,36,28-28
33,51,50,Loamy,Wheat,31,2,16,DAP
38,73,32,Black,Oil seeds,23,5,2,Urea
32,63,64,Black,Cotton,34,2,52,Urea
26,56,37,Clayey,Pulses,21,1,7,28-28
31,61,62,Loamy,Sugarcane,6,13,16,DAP
30,66,66,Loamy,Cotton,28,0,24,28-28
28,70,31,Black,Oil seeds,39,0,41,Urea
40,55,66,Red,Cotton,15,14,32,14-35-14
30,54,41,Sandy,Maize,18,13,21,20-20
29,61,45,Clayey,Paddy,37,5,41,Urea
33,59,31,Red,Tobacco,52,0,23,28-28
30,69,34,Red,Tobacco,23,2,16,DAP
21,72,53,Loamy,Sugarcane,16,13,30,14-35-14
31,68,62,Loamy,Cotton,18,19,16,17-17-17
29,61,64,Red,Cotton,11,14,40,14-35-14
30,63,38,Red,Ground Nuts,15,19,13,17-17-17
27,55,54,Loamy,Sugarcane,20,1,0,28-28
35,62,49,Loamy,Wheat,24,0,20,28-28
28,50,60,Loamy,Cotton,21,2,5,Urea
29,75,33,Black,Oil seeds,17,17,36,14-35-14
32,58,30,Red,Tobacco,21,1,31,Urea
29,58,31,Sandy,Maize,13,12,44,28-28
29,71,47,Loamy,Wheat,13,11,36,14-35-14
28,60,60,Loamy,Sugarcane,20,16,21,17-17-17
27,58,37,Black,Millets,21,1,13,Urea
29,37,31,Clayey,Pulses,9,29,21,10-26-26
29,59,47,Loamy,Sugarcane,13,13,38,14-35-14
31,60,40,Sandy,Millets,31,0,47,28-28
38,72,29,Black,Oil seeds,9,7,12,20-20
39,61,36,Red,Ground Nuts,21,0,30,DAP
24,56,37,Sandy,Millets,19,0,16,DAP
32,55,50,Loamy,Wheat,21,0,8,Urea
33,59,49,Loamy,Wheat,38,10,21,Urea
25,59,41,Clayey,Paddy,9,28,31,10-26-26
35,69,46,Loamy,Wheat,2,8,16,DAP
27,55,41,Sandy,Barley,22,11,44,28-28
32,61,50,Loamy,Wheat,17,15,37,14-35-14
37,50,61,Red,Cotton,10,4,43,28-28
26,66,65,Black,Cotton,15,12,33,14-35-14
25,66,33,Black,Oil seeds,17,13,40,14-35-14
26,59,48,Clayey,Paddy,8,25,23,10-26-26
31,63,30,Red,Tobacco,27,12,16,DAP
25,53,64,Loamy,Sugarcane,17,11,34,14-35-14
31,60,41,Black,Sugarcane,11,3,25,20-20
27,61,33,Sandy,Millets,32,0,25,DAP
32,53,63,Black,Cotton,0,0,20,DAP
24,51,30,Clayey,Pulses,2,2,31,28-28
37,59,53,Loamy,Wheat,9,26,29,10-26-26
32,50,38,Clayey,Pulses,13,23,29,10-26-26
31,56,34,Sandy,Millets,26,1,0,20-20
30,63,41,Clayey,Paddy,9,26,23,10-26-26
29,55,38,Clayey,Paddy,33,0,0,28-28
31,55,45,Sandy,Millets,6,0,18,28-28
28,64,27,Black,Oil seeds,24,7,11,20-20
30,54,38,Clayey,Pulses,28,0,23,DAP
26,63,59,Loamy,Sugarcane,17,14,22,17-17-17
32,53,31,Clayey,Pulses,36,0,25,20-20
30,50,60,Loamy,Cotton,11,15,32,14-35-14
40,62,50,Loamy,Wheat,30,5,11,20-20
36,60,34,Black,Millets,28,0,3,20-20
30,63,47,Sandy,Maize,28,7,23,28-28
34,59,32,Red,Ground Nuts,43,2,21,28-28
27,58,38,Sandy,Millets,47,0,26,20-20
34,56,53,Loamy,Sugarcane,14,0,18,DAP
36,59,40,Sandy,Barley,13,11,35,14-35-14
31,62,62,Red,Cotton,31,0,32,DAP
29,59,53,Loamy,Wheat,47,11,28,28-28
29,58,37,Clayey,Pulses,21,15,27,Urea
32,54,36,Sandy,Barley,13,12,40,14-35-14
32,56,49,Loamy,Wheat,31,4,17,Urea
30,62,28,Red,Ground Nuts,52,3,16,28-28
30,60,61,Red,Cotton,16,13,32,14-35-14
39,90,52,Loamy,Wheat,37,0,21,28-28
26,52,65,Loamy,Cotton,16,3,25,DAP
28,49,39,Sandy,Barley,6,10,32,DAP
34,54,40,Black,Millets,25,0,31,DAP
31,64,50,Loamy,Wheat,22,11,16,DAP
30,59,38,Clayey,Paddy,14,15,30,14-35-14
33,58,23,Red,Ground Nuts,32,4,24,Urea
21,52,47,Sandy,Maize,16,14,34,14-35-14
31,60,32,Red,Tobacco,12,29,22,10-26-26
26,53,38,Sandy,Maize,42,3,3,28-28
38,62,50,Loamy,Wheat,10,24,31,10-26-26
32,63,29,Red,Tobacco,30,4,22,DAP
24,56,62,Red,Cotton,20,6,51,DAP
34,71,62,Black,Cotton,8,3,34,20-20
28,70,27,Red,Ground Nuts,32,0,31,DAP
29,59,60,Red,Cotton,11,23,27,10-26-26
25,62,38,Clayey,Paddy,13,14,32,14-35-14
25,69,30,Red,Ground Nuts,15,14,16,17-17-17
34,59,57,Sandy,Maize,27,8,20,28-28
27,54,50,Loamy,Wheat,14,16,13,17-17-17
32,50,32,Black,Oil seeds,35,0,33,20-20
28,51,50,Loamy,Sugarcane,21,4,7,20-20
28,56,61,Red,Cotton,4,3,32,DAP
32,45,37,Clayey,Pulses,21,7,12,20-20
30,53,37,Sandy,Maize,13,17,40,14-35-14
30,63,41,Clayey,Paddy,7,2,16,DAP
31,48,45,Sandy,Barley,13,3,52,DAP
32,60,39,Clayey,Paddy,11,13,40,14-35-14
36,59,38,Clayey,Paddy,36,6,9,Urea
24,64,41,Clayey,Paddy,21,0,15,Urea
29,59,63,Loamy,Sugarcane,15,20,19,17-17-17
27,67,29,Red,Ground Nuts,12,0,26,DAP
31,60,43,Sandy,Barley,7,23,27,10-26-26
35,59,42,Clayey,Paddy,21,1,23,Urea
34,67,28,Red,Tobacco,3,5,16,28-28
35,72,66,Loamy,Cotton,12,16,35,14-35-14
32,61,35,Sandy,Millets,20,0,16,DAP
32,58,49,Sandy,Millets,27,1,13,20-20
30,58,60,Red,Cotton,19,15,18,17-17-17
29,55,39,Sandy,Millets,24,0,1,20-20
43,63,49,Loamy,Wheat,18,7,16,DAP
26,49,26,Clayey,Pulses,12,11,37,14-35-14
30,59,51,Black,Sugarcane,16,12,36,14-35-14
29,62,35,Loamy,Sugarcane,16,21,11,20-20
23,62,33,Clayey,Pulses,17,11,35,14-35-14
31,60,56,Black,Sugarcane,25,0,18,20-20
23,46,46,Sandy,Barley,22,6,12,28-28
32,52,61,Loamy,Cotton,13,0,22,DAP
32,60,44,Clayey,Paddy,18,18,18,17-17-17
31,55,60,Black,Cotton,27,9,16,DAP
32,47,48,Loamy,Wheat,22,0,19,Urea
31,59,37,Red,Ground Nuts,37,7,30,DAP
32,51,30,Red,Ground Nuts,35,5,35,28-28
33,54,40,Clayey,Pulses,21,0,21,Urea
35,57,50,Loamy,Wheat,21,9,21,Urea
26,59,80,Loamy,Sugarcane,18,17,20,17-17-17
32,53,66,Black,Cotton,13,12,34,14-35-14
29,48,40,Clayey,Paddy,26,19,27,Urea
26,66,39,Sandy,Maize,15,15,19,17-17-17
29,52,34,Loamy,Sugarcane,21,1,19,Urea
36,56,42,Clayey,Paddy,33,4,6,Urea
31,59,44,Sandy,Barley,5,15,26,DAP
35,54,43,Clayey,Paddy,17,14,37,14-35-14
32,61,64,Black,Cotton,22,4,20,20-20
29,58,40,Sandy,Maize,13,2,21,28-28
30,62,49,Loamy,Sugarcane,11,11,39,14-35-14
29,45,44,Sandy,Maize,14,1,12,28-28
25,72,49,Loamy,Wheat,7,26,30,10-26-26
28,54,36,Sandy,Millets,23,0,18,20-20
25,60,61,Red,Cotton,12,12,31,14-35-14
25,63,63,Black,Cotton,12,14,32,14-35-14
33,60,34,Sandy,Maize,16,15,31,14-35-14
30,59,43,Red,Ground Nuts,17,17,12,17-17-17
28,50,40,Clayey,Paddy,21,0,18,Urea
30,56,40,Loamy,Sugarcane,15,17,19,17-17-17
28,52,38,Sandy,Barley,10,24,28,10-26-26
34,63,32,Red,Tobacco,25,16,13,28-28
30,67,40,Clayey,Paddy,12,12,33,14-35-14
27,58,45,Black,Sugarcane,18,2,43,20-20
28,54,30,Clayey,Pulses,23,0,14,Urea
32,72,46,Loamy,Wheat,14,13,30,14-35-14
29,58,39,Sandy,Millets,10,25,28,10-26-26
34,54,50,Sandy,Maize,11,13,33,14-35-14
29,56,44,Clayey,Pulses,7,28,29,10-26-26
28,58,54,Sandy,Maize,14,20,14,17-17-17
29,71,49,Loamy,Wheat,42,7,15,20-20
32,71,64,Black,Cotton,13,13,38,14-35-14
30,56,38,Sandy,Maize,33,0,10,Urea
24,62,44,Sandy,Maize,24,0,14,28-28
28,66,49,Loamy,Wheat,11,24,21,10-26-26
32,47,43,Clayey,Paddy,23,0,24,28-28
24,52,44,Sandy,Barley,12,11,32,14-35-14
31,62,30,Red,Tobacco,21,1,13,Urea
32,70,62,Red,Cotton,0,0,34,28-28
27,51,62,Black,Cotton,17,12,36,14-35-14
29,57,39,Sandy,Millets,21,1,12,Urea
32,59,27,Red,Tobacco,21,5,35,Urea
33,63,30,Red,Tobacco,21,0,21,DAP
30,56,41,Clayey,Paddy,31,7,0,28-28
29,57,46,Clayey,Paddy,17,13,37,14-35-14
27,58,44,Sandy,Maize,16,15,30,14-35-14
27,59,38,Black,Millets,12,0,16,DAP
32,58,39,Sandy,Barley,4,10,34,DAP
32,65,32,Red,Tobacco,21,4,9,Urea
33,59,34,Red,Tobacco,23,3,6,28-28
27,58,74,Loamy,Sugarcane,21,6,24,Urea
28,56,34,Sandy,Barley,19,20,20,17-17-17
30,55,46,Loamy,Sugarcane,14,16,14,17-17-17
29,64,32,Red,Ground Nuts,10,29,25,10-26-26
29,58,31,Black,Oil seeds,23,6,24,20-20
37,60,39,Red,Ground Nuts,29,3,12,Urea
30,60,38,Black,Millets,0,0,39,DAP
29,56,29,Red,Ground Nuts,15,13,31,DAP
31,63,33,Red,Tobacco,8,29,27,10-26-26
25,60,64,Black,Cotton,17,17,35,14-35-14
31,67,48,Loamy,Sugarcane,21,3,29,Urea
33,59,49,Sandy,Millets,15,1,46,28-28
33,68,61,Loamy,Cotton,15,2,0,20-20
43,75,47,Loamy,Wheat,31,1,25,28-28
25,53,34,Red,Ground Nuts,20,18,22,17-17-17
36,55,34,Red,Ground Nuts,19,0,32,DAP
37,60,64,Red,Cotton,31,0,36,DAP
29,77,51,Loamy,Wheat,18,1,16,DAP
29,54,42,Sandy,Millets,20,0,16,DAP
25,56,34,Clayey,Pulses,12,23,24,10-26-26
28,59,46,Clayey,Paddy,23,14,16,DAP
40,55,37,Sandy,Barley,12,0,23,DAP
32,56,30,Black,Oil seeds,34,0,16,DAP
30,63,42,Clayey,Paddy,37,9,0,28-28
29,61,41,Clayey,Paddy,8,0,0,28-28
30,50,40,Clayey,Paddy,34,3,26,Urea
36,72,42,Clayey,Paddy,52,0,7,28-28
39,59,39,Clayey,Paddy,21,10,32,Urea
27,68,59,Black,Sugarcane,15,16,42,DAP
28,57,35,Loamy,Sugarcane,0,11,0,20-20
25,65,32,Clayey,Pulses,0,15,33,28-28
27,58,52,Loamy,Sugarcane,15,19,18,17-17-17
26,63,29,Clayey,Pulses,27,6,18,20-20
30,55,33,Black,Oil seeds,25,3,52,20-20
29,74,36,Black,Oil seeds,12,0,29,20-20
38,69,50,Loamy,Wheat,52,0,10,20-20
32,63,30,Red,Tobacco,14,9,11,28-28
32,58,37,Clayey,Paddy,13,13,35,14-35-14
27,49,30,Black,Oil seeds,38,0,31,DAP
28,57,36,Clayey,Pulses,14,12,40,14-35-14
36,55,51,Loamy,Wheat,34,1,16,DAP
32,55,59,Loamy,Sugarcane,21,1,17,Urea
29,51,44,Sandy,Barley,14,19,15,17-17-17
32,67,41,Clayey,Paddy,11,15,30,14-35-14
27,59,30,Black,Oil seeds,21,0,0,Urea
34,59,42,Sandy,Maize,12,12,32,14-35-14
26,53,54,Sandy,Maize,37,4,21,28-28
30,61,42,Black,Sugarcane,8,13,16,DAP
29,55,32,Black,Oil seeds,11,4,16,20-20
31,59,40,Clayey,Paddy,30,14,0,Urea
34,56,39,Clayey,Paddy,8,8,13,28-28
27,61,34,Red,Tobacco,17,0,10,28-28
35,55,40,Sandy,Barley,0,14,8,28-28
31,62,29,Red,Tobacco,21,10,18,Urea
30,57,33,Red,Ground Nuts,21,0,10,Urea
29,64,30,Red,Tobacco,14,9,11,28-28
34,59,63,Loamy,Cotton,12,13,37,14-35-14
30,69,51,Loamy,Wheat,13,11,33,14-35-14
32,59,39,Sandy,Maize,14,18,15,17-17-17
31,51,62,Loamy,Cotton,14,17,39,14-35-14
33,66,30,Red,Ground Nuts,21,5,18,DAP
34,61,34,Red,Tobacco,31,6,27,28-28
31,60,37,Loamy,Sugarcane,19,2,1,20-20
30,57,35,Sandy,Millets,30,2,3,28-28
38,54,39,Clayey,Paddy,35,0,11,28-28
32,64,54,Loamy,Sugarcane,38,0,0,20-20
37,67,29,Red,Ground Nuts,20,14,16,17-17-17
33,50,63,Black,Cotton,5,0,20,20-20
32,62,33,Red,Tobacco,9,3,27,DAP
30,71,63,Black,Cotton,4,1,37,DAP
35,61,35,Red,Tobacco,7,16,16,28-28
29,61,50,Sandy,Barley,3,0,8,28-28
32,61,73,Loamy,Sugarcane,25,12,22,DAP
25,55,42,Sandy,Barley,14,4,3,28-28
36,61,39,Clayey,Paddy,12,13,31,14-35-14
33,63,22,Sandy,Maize,21,9,4,Urea
29,60,39,Black,Millets,25,0,9,Urea
32,62,52,Black,Sugarcane,20,17,20,17-17-17
26,70,65,Black,Cotton,16,11,32,14-35-14
30,69,62,Red,Cotton,17,7,36,20-20
31,67,39,Clayey,Paddy,28,5,13,Urea
30,61,41,Clayey,Paddy,16,16,35,14-35-14
28,61,43,Clayey,Paddy,17,0,3,28-28
33,57,36,Sandy,Millets,25,0,24,DAP
36,59,32,Black,Oil seeds,15,11,31,14-35-14
29,61,49,Loamy,Wheat,22,11,28,Urea
27,62,46,Loamy,Sugarcane,16,17,12,17-17-17
29,48,48,Sandy,Barley,17,15,22,DAP
35,50,32,Black,Oil seeds,22,6,23,DAP
30,49,57,Sandy,Maize,7,28,24,10-26-26
35,62,40,Clayey,Paddy,11,13,30,14-35-14
30,65,29,Red,Tobacco,13,24,24,10-26-26
31,59,28,Red,Tobacco,25,6,22,28-28
31,72,64,Loamy,Sugarcane,21,0,11,Urea
31,55,48,Loamy,Wheat,29,7,13,Urea
32,65,35,Clayey,Paddy,9,26,31,10-26-26
34,61,39,Red,Tobacco,11,11,42,DAP
31,57,42,Sandy,Millets,34,0,23,Urea
31,48,64,Black,Cotton,11,12,34,14-35-14
34,59,59,Red,Cotton,24,2,16,DAP
34,65,66,Black,Cotton,17,11,36,14-35-14
29,62,25,Red,Ground Nuts,7,8,22,DAP
22,65,29,Red,Ground Nuts,9,0,0,28-28
24,56,33,Clayey,Pulses,46,5,16,DAP
28,59,35,Clayey,Pulses,35,0,0,20-20
32,67,59,Black,Cotton,25,0,39,DAP
23,61,43,Loamy,Sugarcane,26,1,25,20-20
27,59,64,Red,Cotton,12,4,19,28-28
34,51,48,Loamy,Wheat,12,23,21,10-26-26
35,63,52,Loamy,Wheat,17,17,33,14-35-14
29,64,55,Loamy,Wheat,17,0,14,28-28
34,68,40,Clayey,Paddy,17,8,40,28-28
34,62,27,Black,Oil seeds,13,15,33,14-35-14
33,71,55,Loamy,Wheat,35,6,17,20-20
35,51,39,Clayey,Pulses,8,26,31,10-26-26
34,64,68,Black,Sugarcane,19,20,18,17-17-17
26,58,37,Black,Millets,20,1,20,20-20
28,55,36,Sandy,Millets,21,0,23,20-20
29,71,51,Loamy,Wheat,11,16,35,14-35-14
24,59,37,Black,Millets,33,0,21,20-20
30,57,46,Sandy,Millets,21,0,10,Urea
28,55,42,Sandy,Barley,14,17,18,17-17-17
34,58,69,Loamy,Sugarcane,21,4,0,Urea
28,58,43,Sandy,Millets,22,0,52,Urea
27,56,35,Black,Oil seeds,21,0,23,DAP
31,62,40,Clayey,Paddy,16,13,30,14-35-14
36,61,32,Red,Tobacco,29,3,0,28-28
33,62,31,Red,Tobacco,31,5,23,28-28
32,58,36,Clayey,Paddy,17,11,30,14-35-14
33,68,38,Clayey,Paddy,24,0,0,Urea
27,63,35,Sandy,Maize,21,6,19,Urea
30,61,40,Clayey,Paddy,11,29,30,10-26-26
33,63,52,Loamy,Wheat,36,4,35,DAP
23,56,37,Sandy,Barley,17,20,21,17-17-17
32,65,44,Clayey,Paddy,20,2,16,DAP
27,67,42,Sandy,Barley,7,19,21,28-28
28,57,40,Clayey,Paddy,23,0,14,Urea
30,66,60,Red,Cotton,20,2,44,DAP
26,59,29,Black,Oil seeds,0,0,16,DAP
36,59,62,Loamy,Sugarcane,19,0,13,20-20
33,58,30,Clayey,Pulses,12,29,28,10-26-26
29,64,49,Sandy,Maize,0,4,24,28-28
35,66,39,Clayey,Paddy,8,29,26,10-26-26
30,61,37,Sandy,Barley,4,15,16,DAP
38,54,35,Red,Ground Nuts,37,0,40,DAP
39,54,31,Black,Oil seeds,16,17,35,14-35-14
36,57,32,Black,Oil seeds,4,3,47,DAP
31,51,59,Black,Cotton,30,4,25,DAP
35,72,39,Sandy,Barley,17,4,28,28-28
33,58,38,Sandy,Millets,41,0,19,20-20
34,38,56,Black,Sugarcane,14,19,14,17-17-17
30,58,36,Clayey,Pulses,17,12,35,14-35-14
35,57,48,Clayey,Paddy,0,0,25,DAP
27,57,30,Black,Oil seeds,13,14,37,14-35-14
30,59,42,Sandy,Millets,30,1,38,DAP
28,55,32,Red,Tobacco,25,11,18,28-28
31,63,52,Loamy,Wheat,21,6,11,Urea
27,54,40,Sandy,Millets,28,1,2,20-20
36,42,47,Sandy,Barley,11,24,29,10-26-26
30,74,40,Sandy,Barley,22,3,8,28-28
31,44,28,Black,Oil seeds,5,5,32,20-20
33,53,64,Red,Cotton,14,16,32,14-35-14
33,66,64,Black,Cotton,23,8,22,DAP
23,61,40,Sandy,Barley,21,0,28,Urea
28,61,39,Sandy,Millets,31,1,35,Urea
25,58,53,Sandy,Maize,14,15,18,17-17-17
33,54,48,Sandy,Barley,5,4,25,28-28
34,65,59,Loamy,Sugarcane,0,5,16,DAP
36,59,57,Loamy,Sugarcane,24,19,18,20-20
28,69,44,Clayey,Paddy,21,13,4,Urea
30,63,33,Black,Oil seeds,10,0,15,20-20
34,64,41,Clayey,Paddy,40,13,29,Urea
32,62,45,Sandy,Barley,16,17,21,17-17-17
31,65,50,Loamy,Wheat,39,6,41,20-20
29,56,34,Sandy,Maize,21,11,17,Urea
33,63,41,Clayey,Paddy,8,0,8,28-28
40,66,49,Loamy,Wheat,29,5,0,20-20
25,58,45,Clayey,Paddy,9,23,30,10-26-26
27,56,58,Black,Sugarcane,19,18,15,17-17-17
31,61,41,Clayey,Paddy,34,5,47,DAP
27,64,44,Sandy,Barley,14,14,33,14-35-14
34,65,63,Black,Cotton,17,15,40,14-35-14
30,79,52,Loamy,Wheat,9,8,17,28-28
26,63,23,Red,Ground Nuts,5,1,31,DAP
23,58,31,Clayey,Pulses,12,2,22,20-20
32,60,39,Sandy,Barley,13,29,30,10-26-26
33,59,42,Sandy,Barley,21,5,16,DAP
29,49,26,Loamy,Sugarcane,20,20,14,17-17-17
29,55,46,Loamy,Wheat,21,0,28,Urea
32,61,32,Red,Tobacco,14,20,33,28-28
31,62,33,Red,Tobacco,0,16,0,28-28
30,64,30,Red,Tobacco,10,27,23,10-26-26
33,59,44,Sandy,Millets,16,0,15,28-28
31,64,28,Red,Tobacco,26,3,23,28-28
28,62,58,Black,Sugarcane,10,3,10,20-20
33,62,29,Red,Tobacco,8,23,29,10-26-26
29,60,40,Sandy,Barley,14,0,7,28-28
25,44,33,Clayey,Pulses,42,3,16,DAP
29,64,56,Loamy,Sugarcane,17,2,16,DAP
31,71,48,Loamy,Wheat,42,0,21,20-20
30,56,32,Black,Oil seeds,32,0,25,Urea
31,55,69,Loamy,Sugarcane,16,16,38,14-35-14
29,61,50,Sandy,Maize,21,10,23,Urea
28,57,43,Loamy,Sugarcane,0,6,27,20-20
29,60,29,Black,Oil seeds,0,0,25,20-20
27,56,41,Clayey,Pulses,0,0,28,28-28
39,57,66,Red,Cotton,28,2,17,DAP
28,55,41,Sandy,Millets,21,0,10,Urea
36,59,40,Clayey,Paddy,19,0,23,20-20
25,63,45,Sandy,Millets,13,0,0,28-28
28,71,30,Black,Oil seeds,17,14,33,14-35-14
26,62,55,Loamy,Sugarcane,19,19,15,17-17-17
29,59,29,Sandy,Maize,21,10,38,Urea
28,57,38,Black,Oil seeds,16,2,16,DAP
35,71,50,Loamy,Wheat,21,0,8,Urea
27,72,38,Red,Ground Nuts,21,0,0,Urea
34,57,40,Sandy,Maize,21,4,23,Urea
30,66,34,Black,Sugarcane,16,16,17,17-17-17
27,54,43,Sandy,Maize,21,10,34,Urea
25,57,42,Clayey,Paddy,35,13,19,28-28
32,64,30,Red,Tobacco,36,7,7,28-28
27,57,50,Sandy,Maize,13,13,7,28-28
30,68,39,Clayey,Pulses,21,0,23,Urea
27,58,34,Clayey,Pulses,5,20,16,DAP
32,73,64,Red,Cotton,17,16,31,14-35-14
27,62,34,Red,Tobacco,21,4,4,Urea
25,63,44,Sandy,Barley,6,6,16,28-28
36,59,61,Loamy,Cotton,21,3,21,28-28
30,58,74,Loamy,Sugarcane,26,5,29,DAP
31,56,63,Black,Cotton,6,7,39,DAP
26,59,39,Sandy,Barley,0,0,11,28-28
32,58,67,Black,Sugarcane,19,19,22,17-17-17
26,55,45,Clayey,Paddy,21,7,35,Urea
34,62,38,Sandy,Millets,25,0,5,28-28
37,59,27,Red,Ground Nuts,6,0,24,DAP
30,49,34,Clayey,Pulses,16,11,39,14-35-14
32,67,44,Clayey,Paddy,27,3,12,Urea
31,59,48,Loamy,Wheat,34,8,2,Urea
35,51,69,Black,Sugarcane,21,14,0,Urea
30,57,38,Red,Tobacco,9,7,16,DAP
34,62,62,Loamy,Cotton,17,3,17,DAP
26,51,39,Clayey,Pulses,28,0,6,28-28
26,58,34,Red,Ground Nuts,22,8,13,Urea
33,65,49,Sandy,Barley,21,14,51,28-28
33,71,61,Black,Cotton,22,6,14,Urea
27,65,42,Clayey,Paddy,7,27,30,10-26-26
35,57,36,Sandy,Millets,47,0,16,DAP
22,56,32,Black,Oil seeds,36,5,27,Urea
33,57,36,Clayey,Pulses,3,17,31,20-20
30,56,31,Red,Ground Nuts,31,7,27,Urea
31,60,50,Loamy,Wheat,47,8,40,20-20
31,53,49,Sandy,Barley,10,27,30,10-26-26
33,56,64,Black,Cotton,27,1,29,20-20
25,52,34,Black,Oil seeds,13,8,16,DAP
31,62,48,Loamy,Wheat,33,9,16,Urea
22,47,37,Black,Oil seeds,26,4,23,20-20
27,60,41,Sandy,Millets,42,0,40,28-28
26,62,31,Black,Oil seeds,13,3,29,20-20
29,55,38,Black,Millets,22,0,42,20-20
31,57,37,Sandy,Millets,11,0,43,DAP
32,56,30,Clayey,Pulses,6,15,6,28-28
31,59,46,Black,Sugarcane,11,11,35,14-35-14
28,58,40,Red,Ground Nuts,41,1,0,28-28
34,50,40,Clayey,Pulses,19,10,30,28-28
32,57,40,Sandy,Maize,18,17,22,17-17-17
28,59,32,Loamy,Sugarcane,28,0,18,DAP
33,62,44,Clayey,Paddy,11,12,32,14-35-14
33,58,40,Sandy,Millets,52,2,39,Urea
30,57,26,Black,Oil seeds,24,4,16,DAP
33,73,39,Clayey,Paddy,14,11,35,14-35-14
25,48,32,Clayey,Pulses,8,27,29,10-26-26
35,58,52,Loamy,Wheat,21,6,4,Urea
26,49,32,Clayey,Pulses,32,11,21,28-28
26,55,40,Clayey,Paddy,11,10,30,28-28
34,66,40,Sandy,Maize,24,5,33,28-28
22,60,62,Black,Cotton,21,0,30,Urea
31,62,29,Red,Tobacco,28,7,21,28-28
25,64,59,Loamy,Sugarcane,17,17,18,17-17-17
26,57,67,Black,Sugarcane,14,16,36,14-35-14
30,75,27,Red,Ground Nuts,43,0,47,DAP
29,64,50,Loamy,Wheat,12,24,24,10-26-26
30,60,41,Clayey,Paddy,31,8,19,20-20
27,61,36,Clayey,Pulses,16,3,15,20-20
28,60,42,Sandy,Millets,46,1,5,20-20
27,58,51,Loamy,Wheat,9,28,27,10-26-26
